,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_name,logq
WBGene00006927,58107.695124917,0.588385320709303,0.0130342923250357,45.1413322669737,0,0,vit-3,Inf
WBGene00006928,69383.1636301185,0.578174945727799,0.0165307105584856,34.9758072214875,5.24878058368025e-268,3.59593957787934e-264,vit-4,263.444187614273
WBGene00006925,47640.6030161555,0.583522829408863,0.0166922912520784,34.9576232883072,9.91796125863941e-268,4.52986350552924e-264,vit-1,263.343914884011
WBGene00001564,44128.3654512074,-0.509980444283132,0.0151092159951658,-33.7529388981071,9.68033424371975e-250,3.3159984951862e-246,icl-1,245.479385675206
WBGene00018393,12297.5519425004,0.570439039696756,0.0199085945529179,28.6529035578329,1.47493673726734e-180,4.04191663480742e-177,msra-1,176.393412648123
WBGene00006929,144626.921078174,0.352706048652714,0.0144731170576439,24.3697364740398,3.58159799499517e-131,8.17917595457064e-128,vit-5,127.087290448946
WBGene00000597,13295.3355998917,0.454758670947463,0.0194082272525531,23.4312317673239,2.05404457127558e-121,4.02064553080258e-118,col-8,117.395704213593
WBGene00009221,6620.47603523333,-0.573123372092774,0.0253018493865266,-22.6514419296941,1.35019674581869e-113,2.31254947640095e-110,acs-2,109.635908966871
WBGene00000716,8711.93793891613,0.542548920077322,0.0245788658252576,22.0737980317949,5.64452315547817e-108,8.59347291959576e-105,col-143,104.065831287274
WBGene00013489,11994.9905006292,0.441533505152534,0.0203507929994578,21.6961326845739,2.23161230030916e-104,3.05775517388361e-101,col-42,100.514597290306
WBGene00000675,10233.3268451027,0.458628422386098,0.0211803453762792,21.653491207926,5.6346180193284e-104,7.01868510007616e-101,col-101,100.153744242182
WBGene00021627,8495.85109418592,-0.512282872966953,0.0244924711488537,-20.9159324860909,3.83459060634078e-97,4.37846337400678e-94,Y47D7A.15,93.358678278829
WBGene00000693,41384.1079136921,0.337849381103339,0.0169997045967076,19.8738383470953,6.85550023610137e-88,7.22569724885084e-85,col-119,84.1411202389911
WBGene00000699,11524.7355841725,-0.431912024578841,0.0220610053771878,-19.5780753050113,2.37838760180913e-85,2.32776192285634e-82,col-125,81.6330614402065
WBGene00013311,22277.91540881,0.307037551584763,0.015891941250987,19.3203301431594,3.62325846562718e-83,3.30972583306824e-80,sec-61,79.4802079802778
WBGene00001399,2204.44086335746,0.782111620703633,0.0409533605130058,19.0976176535074,2.64273474950427e-81,2.26317197110672e-78,fat-7,77.6452824441606
WBGene00022245,7931.99812778917,0.445135699389894,0.0240839024012257,18.4827064972344,2.8454302355067e-76,2.2934167698184e-73,acp-6,72.639517016188
WBGene00000673,9297.21543063889,0.423739814411386,0.0229644512803662,18.4519895223305,5.02602315144774e-76,3.82592051228539e-73,col-98,72.4172640571614
WBGene00000656,41786.6511146232,0.259335471398319,0.0140617060244835,18.4426748039518,5.97128866154343e-76,4.30624196002464e-73,col-80,72.3659015715977
WBGene00010988,22258.8714288766,0.31063672481964,0.0168555008384111,18.4293974885485,7.63283879456212e-76,5.22925785815451e-73,metr-1,72.2815599422949
WBGene00016892,5003.0040805411,0.512613060604757,0.0284044124142583,18.0469517597709,8.33665928569806e-73,5.23393646660489e-70,pgph-3,69.281171553452
WBGene00000734,7986.39908868881,-0.43153384323605,0.0239123160079185,-18.0465097188055,8.40363467123833e-73,5.23393646660489e-70,col-161,69.281171553452
WBGene00008205,7554.68138344521,0.416532145935987,0.0236351916399262,17.6233877127678,1.62948127969546e-69,9.70745760625533e-67,sams-1,66.0128944973989
WBGene00000677,10233.2553559242,0.41468116978543,0.0235587172913229,17.6020266577996,2.37665220686807e-69,1.3568703557711e-66,col-103,65.8674616456807
WBGene00018297,8716.18637255426,-0.410157699066147,0.0233395038809203,-17.5735397444093,3.92876022113874e-69,2.15327490200172e-66,F41F3.3,65.6669005215926
WBGene00000601,25744.8679317669,-0.290905270053439,0.0166612012457583,-17.4600417918546,2.88722705926576e-68,1.52156866023306e-65,col-12,64.8177084454829
WBGene00000663,4582.35334595596,-0.49075801713986,0.0282017069378954,-17.4017132445417,8.00718222991788e-68,4.06349670053092e-65,col-88,64.3911000885485
WBGene00018488,3295.02173924284,0.602081735474808,0.0352455781406133,17.0824757951986,2.00430809767318e-65,9.80822484082783e-63,acs-1,62.0084095870741
WBGene00000718,4171.49351076767,-0.506545606558861,0.0299377192274546,-16.9199798658787,3.20540061657006e-64,1.51449652580148e-61,col-145,60.8197317185853
WBGene00000751,44318.2687696079,0.256047809987416,0.0152012653300426,16.8438484842036,1.16412994750832e-63,5.31696951358632e-61,col-178,60.2743358298342
WBGene00000653,8911.1264667051,-0.418499719407827,0.0249089394820212,-16.8011857634442,2.39213618525865e-63,1.05732419388432e-60,col-77,59.9757918300742
WBGene00016943,37144.4170233254,0.225680272967056,0.0137201137083533,16.4488631628216,8.54572240894228e-61,3.65917151397897e-58,acdh-1,57.436617233632
WBGene00000067,12648.2672082018,0.327464189516046,0.0200838978840606,16.3048125123129,9.12184016726481e-60,3.78749860520795e-57,act-5,56.4216475184238
