,baseMean,log2FoldChange,lfcSE,pvalue,padj
WBGene00000001,3400.13946539453,0.0870808518345521,0.0300609466773267,0.00146783241517143,0.00940727580091421
WBGene00000002,104.370933202428,-0.0256666386851752,0.0644584125716428,0.426681656976811,0.581317456291622
WBGene00000003,209.054068064416,-0.22529826721519,0.112613661485128,0.00263447030411722,0.0144885525827024
WBGene00000004,663.533112459557,-0.055465718370912,0.0450720881772292,0.121522585523803,0.237870092654718
WBGene00000005,272.824632642109,0.0597913957648225,0.0651144397783377,0.14494064029684,0.269042042034603
WBGene00000006,247.498354677999,-0.0731566883264489,0.066305430766596,0.087276716841349,0.186241068579582
WBGene00000007,185.108503721396,0.00735803663612911,0.0541345814174922,0.832412010042347,0.894744545498706
WBGene00000010,2165.27634303589,0.0230126519689044,0.0338093909709077,0.425826748327628,0.580579185002915
WBGene00000016,184.333504406527,-0.381087125728838,0.145231551332813,0.000353538949975199,0.0032001200206554
WBGene00000017,250.553600492764,-0.32897225693553,0.0832398463455162,4.6401345489418e-06,0.000115887136846596
WBGene00000018,1301.29324787389,0.000707376049077315,0.0312181389631553,0.980037318520948,0.98781055386225
WBGene00000019,50.7449550084355,-0.0644689047517265,0.107576270133307,0.037654495667809,0.101577018282235
WBGene00000020,705.925586708718,-0.160641510776899,0.0482205756428433,0.000116055713675999,0.00139288348210028
WBGene00000022,2089.46068806563,-0.018035854482806,0.0591756699969803,0.578979332762132,0.710742505091652
WBGene00000023,56.2738053813276,-0.022663345732044,0.0681404603872691,0.404292180252497,0.561198989890623
WBGene00000035,304.053481391515,-0.167382915077884,0.0664439689001388,0.00130462058419187,0.0086102301488264
WBGene00000036,537.419831915363,-0.158543830233304,0.0534663075924328,0.000403964570393828,0.00353557647633005
WBGene00000037,37.9098886579647,-0.00908494669958804,0.0667441792899978,0.670358735059612,0.78273938598709
WBGene00000039,43.9209148715087,0.00012919358747636,0.0649997386963641,0.997902393833776,0.998518668278015
WBGene00000040,7552.79592007023,-0.0370883980016056,0.0290209064208161,0.154859933981014,0.283276102774754
WBGene00000041,31878.4144873567,0.0270800037819475,0.0164193614982831,0.0922952714345563,0.194272703529509
WBGene00000046,17.6132171190692,-0.000397512387876037,0.0677473830412401,0.980643104947002,0.988258712107624
WBGene00000048,23.9000060460984,0.0128750895011159,0.0688001147140325,0.500458237717353,0.647399169390453
WBGene00000050,46.9818691632032,0.0297726684567886,0.0742595259689375,0.20882588176635,0.349401150298697
WBGene00000051,70.4716006201006,-0.017195344117946,0.0644914628422343,0.555465435130271,0.691570739617574
WBGene00000054,63.1485165573618,-0.0444970929834341,0.082018370914222,0.127510806816562,0.246414528994771
WBGene00000055,105.622804907318,0.00199198190665511,0.0594955532494608,0.954241223604647,0.971784627621263
WBGene00000056,34.2934436929822,-0.0148500978301294,0.0692214981118592,0.444013069049201,0.597146441275757
WBGene00000057,112.306945941322,-0.0487250803669386,0.0761353224513332,0.174869401421433,0.309103665788165
WBGene00000059,29.9834489574019,-0.00104927223193901,0.0660711740761101,0.961244519525947,0.975773471853342
WBGene00000063,57641.7758354711,-0.0642882928346392,0.0247215715287634,0.00914683423733492,0.0360917094016241
WBGene00000064,55007.004343581,0.0862233813811853,0.022946124302567,6.37330478885105e-05,0.000895995408601815
WBGene00000065,46104.8034344176,-0.00862422574482252,0.0266553638015948,0.694818404821452,0.80209243441006
WBGene00000066,39962.7649187263,-0.101541584685481,0.0330182519815045,0.000633101924657784,0.00501605571357836
WBGene00000067,17184.6490354209,0.0563563537194675,0.0418889408972613,0.10677103172845,0.216684846291556
WBGene00000068,270.890910523731,0.00787398218092633,0.0493734646558961,0.823082794104504,0.889528533894683
