,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_name,SNR,logq
WBGene00000106,2487.70562201718,1.32565551721336,0.0294312437525215,45.0424565254667,0,0,alg-2,0.000532882791870866,Inf
WBGene00000256,3461.67815481053,-5.49587427502244,0.112229665608986,-48.9698890681039,0,0,bli-6,-0.00158763294253254,Inf
WBGene00000301,2017.47823216603,4.77515560077738,0.0557329864000105,85.6791625430732,0,0,cav-1,0.00236689324555964,Inf
WBGene00000387,1413.39755999673,1.58906109635909,0.0369830478494014,42.9672833572263,0,0,cdc-25.2,0.00112428459007865,Inf
WBGene00000396,2527.75333895538,1.71937945808288,0.0376312717479846,45.6901767656834,0,0,cdh-4,0.000680200647581157,Inf
WBGene00000460,865.389266937083,1.71143284059181,0.0440227023236075,38.8761423142814,0,0,ceh-39,0.00197764509681195,Inf
WBGene00000465,53647.2763781763,0.748615640219478,0.0143088933434457,52.3182067439469,0,0,cpg-1,1.39544016166311e-05,Inf
WBGene00000482,2440.90296425236,1.22638113136089,0.0269848561156146,45.4470139142691,0,0,chd-3,0.000502429285113563,Inf
WBGene00000503,2071.74113788577,4.78621690219483,0.0607593031321655,78.7734002113833,0,0,cht-1,0.00231023886849069,Inf
WBGene00000615,2534.36498526828,-5.20343595336337,0.100848602571974,-51.5965102208506,0,0,col-38,-0.00205315176922417,Inf
WBGene00000639,1487.42964058148,-7.53630751792164,0.158471889076844,-47.5561158627144,0,0,col-63,-0.00506666487765799,Inf
WBGene00000647,2985.48795125919,-6.54202280804131,0.146471760325893,-44.6640553338447,0,0,col-71,-0.00219127422881813,Inf
WBGene00000657,25387.6966218635,-3.01936164610462,0.0418757458454401,-72.1028744717486,0,0,col-81,-0.000118930113711237,Inf
WBGene00000683,843.518345209239,-7.15677668628852,0.185713239619609,-38.5367069194825,0,0,col-109,-0.00848443513639676,Inf
WBGene00000703,32212.8428569223,-2.64367391367403,0.0351847527558906,-75.1369188811886,0,0,col-129,-8.2068941428618e-05,Inf
WBGene00000711,2194.33291414354,-8.45677188123446,0.194367693723473,-43.5091435167509,0,0,col-138,-0.00385391470306373,Inf
WBGene00000712,32542.588343285,-2.61223461531873,0.0446995684369827,-58.4398173553162,0,0,col-139,-8.02712613933103e-05,Inf
WBGene00000720,6657.99793837529,-4.19611517942289,0.102949278263196,-40.7590538779228,0,0,col-147,-0.000630236779623702,Inf
WBGene00000723,434.497207049231,-3.80875804771491,0.0975441207235332,-39.0465157660294,0,0,col-150,-0.00876589765347641,Inf
WBGene00000728,1478.33766969773,-2.33992392076271,0.0496106019064432,-47.1658038976305,0,0,col-155,-0.00158280747945844,Inf
WBGene00000732,15444.5013460005,-2.53612184069018,0.0331454441845221,-76.5149450576522,0,0,col-159,-0.00016420872282464,Inf
WBGene00000739,2486.46277588421,-2.49646263575771,0.0471253237319698,-52.9749705266027,0,0,col-166,-0.00100402172112548,Inf
WBGene00000868,18675.0878142693,1.15805414499844,0.0216329153800871,53.5320424756258,0,0,cyb-3,6.20106398703836e-05,Inf
WBGene00000878,773.089417317969,-3.03099036036201,0.0667361521676534,-45.4175175210523,0,0,cyn-2,-0.0039206206843152,Inf
WBGene00000913,16046.1902338529,0.874547351348175,0.0209817519578888,41.6813311444834,0,0,daf-18,5.45018685808131e-05,Inf
WBGene00000995,1538.57830964544,1.66192291124096,0.0440658536795343,37.7145288805063,0,0,die-1,0.00108016790619124,Inf
WBGene00001607,15034.9682610037,0.865153712609506,0.0213467802079425,40.5285342417873,0,0,gln-6,5.75427694685236e-05,Inf
WBGene00001683,10855.7407429421,0.748010909377622,0.0198318527134387,37.7176515066969,0,0,gpd-1,6.89046401429533e-05,Inf
WBGene00001819,1275.77260115128,-1.78167774046961,0.0407954344651184,-43.6734591463416,0,0,haf-9,-0.00139654805163693,Inf
WBGene00001898,3778.98315239618,1.5172280916472,0.0313903525711221,48.3342163236165,0,0,his-24,0.0004014910970654,Inf
WBGene00002052,1655.40126363348,-1.21801323752068,0.032303019142562,-37.7058637195878,0,0,ifa-4,-0.000735781266015972,Inf
WBGene00002053,5418.27998865658,-1.30810370900735,0.025651669282062,-50.9948765760089,0,0,ifb-1,-0.000241424162602509,Inf
WBGene00002054,5549.60092899312,-1.60156326905376,0.0288471476630392,-55.5189472374002,0,0,ifb-2,-0.000288590709412386,Inf
WBGene00002056,5086.0338475838,-1.38345991478341,0.023370707429791,-59.1963216748799,0,0,ifc-2,-0.000272011543029869,Inf
WBGene00002124,824.763861745048,2.55124994623604,0.0520143974747436,49.0489185705715,0,0,inx-2,0.00309330956964829,Inf
WBGene00002125,1872.68985150806,2.17087674349307,0.0447634393382768,48.4966476120786,0,0,inx-3,0.00115922919203352,Inf
WBGene00002266,1145.69794711384,-1.72569826658389,0.0418864259462476,-41.1994632532854,0,0,lec-3,-0.00150624191212976,Inf
WBGene00003155,9912.16167240931,0.917165680272539,0.0201105153520384,45.6062743404323,0,0,mcm-3,9.25293301889422e-05,Inf
WBGene00003157,8703.04072677579,0.906795105632725,0.020174959494047,44.9465638778751,0,0,mcm-5,0.00010419290614634,Inf
WBGene00003158,9176.70807472257,0.836202256576653,0.021844434941717,38.2798758039619,0,0,mcm-6,9.11222466452855e-05,Inf
WBGene00003159,12363.207727216,0.919088340534722,0.0238680812260839,38.507005729908,0,0,mcm-7,7.43406048667666e-05,Inf
WBGene00003375,1542.00997751709,-1.53796787114624,0.0384414727758007,-40.0080371560167,0,0,mlp-1,-0.000997378676902362,Inf
WBGene00003434,791.732221355697,-3.5056439774027,0.0821187159641858,-42.6899512034699,0,0,msp-38,-0.00442781521686704,Inf
WBGene00003442,1163.92213968574,-3.54337305042485,0.0670195880368827,-52.8707077171951,0,0,msp-49,-0.0030443385597782,Inf
WBGene00003443,1491.46281208515,-3.50962579576684,0.0564614982765961,-62.159629179051,0,0,msp-50,-0.00235314334848227,Inf
WBGene00003449,678.444972339638,-3.89104270555745,0.0841714747380741,-46.2275695853689,0,0,msp-56,-0.00573523699665585,Inf
WBGene00003469,574.071440721942,-3.27115434090923,0.0778489894542224,-42.0192267599411,0,0,msp-142,-0.00569816595787363,Inf
WBGene00003482,2303.76385432278,-2.10551636864627,0.0434255938730604,-48.4856090811565,0,0,mua-3,-0.000913946264368841,Inf
WBGene00003495,10648.7100064713,-0.90162500294723,0.0237424660547495,-37.9752044656231,0,0,mup-2,-8.46698804267658e-05,Inf
WBGene00003567,2957.89339047753,-1.16865732699131,0.0290496981680774,-40.2295858714133,0,0,ncx-2,-0.000395097852665554,Inf
WBGene00003776,12387.6112635568,-1.23531353079721,0.0232190435787436,-53.202601847395,0,0,nmy-1,-9.97216900429697e-05,Inf
WBGene00003893,9893.44339666596,-0.817624214294165,0.0196891454465143,-41.5266480973106,0,0,ost-1,-8.26430375666474e-05,Inf
WBGene00003977,1470.34466595112,6.05702275378908,0.0911280997946749,66.4671244921868,0,0,pes-2.1,0.00411945776663934,Inf
WBGene00004241,21960.2427281982,0.861844884378434,0.0215350691384073,40.0205301798336,0,0,puf-5,3.92456902706168e-05,Inf
WBGene00004391,10962.2403481699,0.767754021519254,0.0199876555599926,38.4114094429361,0,0,rnr-1,7.00362332091564e-05,Inf
WBGene00004392,13818.1702871205,1.15326234335221,0.0266363740170938,43.2965216140948,0,0,rnr-2,8.3459844493821e-05,Inf
WBGene00004394,1921.97640875624,-8.32936553968403,0.200373531928848,-41.5691905986952,0,0,rol-1,-0.00433375014476592,Inf
WBGene00004786,825.716799305553,2.12366970052034,0.0500337201531922,42.4447691280627,0,0,sex-1,0.00257191049316957,Inf
WBGene00004813,847.864708486442,3.02812674280129,0.0586050392192022,51.6700745046019,0,0,skr-7,0.00357147397750158,Inf
WBGene00004816,371.275388015254,4.59488616371524,0.116854708902822,39.3213607466722,0,0,skr-10,0.0123759514151432,Inf
WBGene00004965,541.293901201827,-3.43568250908777,0.0802728724231375,-42.8000444655508,0,0,spe-11,-0.0063471664865604,Inf
WBGene00004969,2141.47150377502,-2.36721560485956,0.0611972013906127,-38.6817624183494,0,0,spe-15,-0.00110541541210639,Inf
WBGene00005018,1217.12520334083,-3.24767010109386,0.0681236071801662,-47.6731963488775,0,0,sqt-3,-0.00266831225923142,Inf
WBGene00006416,832.524994639362,-2.96206781199429,0.0595230901948644,-49.7633406178541,0,0,sams-5,-0.00355793259189463,Inf
WBGene00006773,2968.60216086593,1.05384018643816,0.0258718623550312,40.7330625053832,0,0,unc-37,0.000354995425230963,Inf
WBGene00007082,452.871622514781,-3.68226462390975,0.0961624632824925,-38.2921204201323,0,0,acs-10,-0.00813092373388789,Inf
WBGene00007159,706.504358602834,-3.44594613556747,0.0893266574712027,-38.576906750131,0,0,B0379.7,-0.00487745913186168,Inf
WBGene00007225,3097.35482067817,2.2365948946665,0.0263470408952081,84.889794780456,0,0,C01G6.3,0.000722098378827904,Inf
WBGene00007301,1850.39598092204,-3.2380742369652,0.0518790024092891,-62.4158924918998,0,0,C04F12.7,-0.00174993583554569,Inf
WBGene00007332,5377.35079190215,0.953121278653827,0.0239412601561307,39.8108233417179,0,0,C05C10.5,0.000177247368739482,Inf
WBGene00007733,879.96934519912,-3.18522964141399,0.0734796597955233,-43.3484538480137,0,0,smz-1,-0.00361970523040577,Inf
WBGene00007778,473.426337934797,-3.14267536844005,0.0812973833780273,-38.6565377366061,0,0,C27D8.2,-0.00663815068284788,Inf
WBGene00008448,1586.25950180051,-7.11318877122724,0.12979100969258,-54.8049420994211,0,0,E01G4.6,-0.00448425290007926,Inf
WBGene00008590,864.323059390072,-3.39001769919981,0.071093558875734,-47.6838936298758,0,0,F08H9.2,-0.00392216505433981,Inf
WBGene00008652,737.15750531681,-4.28785229031769,0.0953570698192099,-44.9662756882856,0,0,F10D11.6,-0.00581673829458589,Inf
WBGene00008707,27490.4242061352,-1.4122732723794,0.0315161567299935,-44.8110879914289,0,0,F11E6.3,-5.13732804481138e-05,Inf
WBGene00008724,607.084588308138,-3.74179284286586,0.0878166157650794,-42.6091669585131,0,0,F13A7.1,-0.00616354444657165,Inf
WBGene00009212,430.606437823241,4.47351467867593,0.107942491582473,41.4435002666021,0,0,atz-1,0.0103888708707886,Inf
WBGene00009344,829.501634799264,-3.69409393453003,0.087485953559014,-42.2249948048879,0,0,F32H2.7,-0.00445338957701269,Inf
