,baseMean,log2FoldChange,lfcSE,pvalue,padj
WBGene00000001,1825.99254799993,0.00263197912680444,0.0381270264798097,0.944284325781048,0.979952287139919
WBGene00000002,137.95113599223,-0.00521847909466544,0.0706807648603701,0.859022542722662,0.950649273869796
WBGene00000003,329.481575640488,0.155492207437906,0.109375459655821,0.0155471307326129,0.0929711492584981
WBGene00000004,319.879950722332,-0.059922903369395,0.0764377447304199,0.170984912246278,0.43989009449894
WBGene00000005,200.963873031612,0.231833310609689,0.152807622444507,0.00654407712972679,0.0480764163950569
WBGene00000006,398.662958003523,-0.0739666100399095,0.0785375404800853,0.12034916279068,0.359168525467028
WBGene00000007,325.609023587743,-0.128862689234145,0.107903241308505,0.0289599221378834,0.144211477178757
WBGene00000009,35.8287535819514,-0.020395538805631,0.0787099303272272,0.30455347133502,0.600474423949574
WBGene00000010,1274.57877064837,0.00902931127586571,0.0431819604530624,0.817555671921144,0.93290792828468
WBGene00000015,34.7501789787252,0.00661130596615621,0.0755717839723706,0.726254233455478,0.890244985768791
WBGene00000016,218.934260766727,-0.0438488223616799,0.0776685340908715,0.253186065238223,0.545677143333304
WBGene00000017,296.052262549004,0.0251039332602972,0.0661499770626542,0.511049356862427,0.767431500657503
WBGene00000018,667.340867537316,-0.0479848954348088,0.0577220967678597,0.255151482028036,0.548416369872941
WBGene00000019,537.061656324665,-0.106611223437984,0.0829503644470961,0.0419176970365064,0.186216109435837
WBGene00000020,943.132697294045,-0.117668454365973,0.0626908588243551,0.0138670816111915,0.0858301386031561
WBGene00000021,50.7542243496492,-1.08534635142717,0.277727897294877,3.93887939450119e-06,8.93234051878015e-05
WBGene00000022,1185.78368021256,0.104024040495738,0.0520004038295696,0.0137709296522233,0.0853136735491916
WBGene00000023,458.394032996876,-0.299614333968504,0.0900049324645117,5.68226122244104e-05,0.000930297035503305
WBGene00000024,1345.00155580283,-0.456374455055216,0.0517215762863138,6.87782192426296e-20,7.50689100270164e-18
WBGene00000029,609.258727842002,-0.225521190359573,0.0886494549467629,0.000880310933757378,0.00978325685901722
WBGene00000030,712.622482965778,-0.239096114058585,0.0755667243989129,0.000130834147799836,0.00192593030067193
WBGene00000031,1573.22776092523,-0.426941538988826,0.057445945714509,6.57449407342172e-15,4.82309196369872e-13
WBGene00000033,585.76723863217,-0.246640293803124,0.0831175323962326,0.000233107925535288,0.00318035965478785
WBGene00000034,994.801735648272,-0.331362880789375,0.0592103888939961,1.56678003180538e-09,6.7201348009544e-08
WBGene00000035,404.590416400274,-0.127592322277701,0.0919353713738498,0.0245518496635195,0.128514324560856
WBGene00000036,993.454735060875,-0.144707379359929,0.0593769931675115,0.00258658023505204,0.0236867937623285
WBGene00000037,63.5878136328103,-0.0322260141599946,0.0823102684117294,0.204251844844522,0.484552220717036
WBGene00000038,30.3933926473392,0.0120626406183703,0.0769867183622674,0.47956602996497,0.744039518349673
WBGene00000039,412.461786043656,-0.0294955392018689,0.0619332214496065,0.459076610186955,0.730565118109046
WBGene00000040,6449.17500144729,0.182369155569313,0.0268305732536421,1.64676596558034e-12,1.01412078384936e-10
WBGene00000041,30154.8511165934,0.0196452576650717,0.0167672456434065,0.229967524217916,0.516754197928567
WBGene00000042,25.9540485058264,0.00694789959238677,0.0763606183157612,0.662526539822766,NA
WBGene00000044,18.205289328549,0.0141195486347718,0.0781361720934743,0.325448000176569,NA
WBGene00000046,25.8289583445963,-0.00379830626457353,0.0761130595459278,0.805771180169635,NA
WBGene00000047,25.4509710669843,0.00221162342610361,0.0758063076844876,0.897496312046515,NA
WBGene00000048,23.2469730292706,-0.00723039955506415,0.0764258559581733,0.644701945991549,NA
WBGene00000050,37.9267522542737,-0.00697352216035373,0.0754035777593858,0.719102457636548,0.886305457243698
WBGene00000051,74.6082401674493,-0.0108861129894462,0.0733972436933292,0.677890097690581,0.864590021042756
WBGene00000054,74.8198684268952,0.0051445263846431,0.0729669073699345,0.840490896895382,0.942655830477903
WBGene00000055,78.6696057371607,-0.0191244526611243,0.0754266761957359,0.470255401338909,0.738815536919234
WBGene00000056,19.1934226740335,0.0127250079340541,0.0777264447209566,0.383090204565532,NA
WBGene00000057,164.391476408494,0.0192408324803489,0.0710277760828169,0.559210168694831,0.798064900045509
WBGene00000058,20.2906579806155,-0.00303126156944285,0.0764876234894179,0.820654539362229,NA
WBGene00000059,21.1236343629683,-0.00732978797948521,0.0765815959648895,0.626725307379846,NA
WBGene00000060,19.5520607113345,-0.00454463468040421,0.0765078269722196,0.743034723001642,NA
WBGene00000061,25.4041616955659,-0.00565330476392801,0.0761469114849859,0.724387414963413,NA
WBGene00000063,61570.9728327606,0.0826476813759355,0.0156137154613715,6.02121812718047e-08,1.99843792341383e-06
WBGene00000064,31815.5383971684,0.0977213774467519,0.0145236601734918,8.57223800203470e-12,4.89711894371557e-10
WBGene00000065,43517.6124057767,-0.00417968920186167,0.014353035987132,0.766810812147175,0.910633520415962
WBGene00000066,44980.6441387693,-0.0506238511354498,0.0144992163643546,0.000371525728469857,0.00477752193937531
WBGene00000067,12648.2672082018,0.325245415322948,0.0201379174178507,9.12184016726481e-60,3.71093043168273e-57
WBGene00000068,409.329118797666,-0.00270701349769576,0.0581951463514449,0.944524827012545,0.979952287139919
WBGene00000069,36.7526935083888,0.0034535712199704,0.0753867225723316,0.852067622052556,0.948036451687019
WBGene00000070,378.19445131257,0.132766550020756,0.103154962441211,0.0251952668634189,0.130546683767425
WBGene00000071,289.815867630442,-0.0263546118292442,0.0659915946310271,0.490730938727098,0.753402234202321
WBGene00000072,168.544276187914,0.00390460754562139,0.0677671138074456,0.907165533033974,0.967792218768364
WBGene00000073,575.686156849152,0.155657053668063,0.0794543944988747,0.00663434785413979,0.0485373950636657
WBGene00000074,925.13133281325,-0.0869217871807551,0.0583071550423036,0.0488790475126417,0.205625891621354
WBGene00000075,535.568526230777,0.0670735267598001,0.068764410242406,0.146378266480863,0.402278040431031
WBGene00000079,3917.98789272779,-0.0171994469480848,0.0294595473026753,0.52747148717062,0.77859315176092
WBGene00000080,2404.96799903114,0.0268260958430735,0.035828963232597,0.398032770231357,0.685496388680094
WBGene00000081,5126.19104090813,-0.00809330844833293,0.0258056913375355,0.741254118218341,0.899433888022527
WBGene00000082,332.877261740271,-0.209196765830261,0.110753058478805,0.00433307435786988,0.0350220726282728
WBGene00000083,1409.59483424313,0.0533418564071954,0.044859637186855,0.151525842416379,0.410428360256735
WBGene00000084,363.289647997279,0.0401480405057349,0.0680084677484712,0.343253995643005,0.63770770117041
WBGene00000085,31.8105432931885,-0.00328181962972463,0.0754689293195832,0.856684758495771,0.94986726815376
WBGene00000086,410.157754874121,-0.0415248249934842,0.0651010084646551,0.316081613655236,0.611000095510662
WBGene00000088,572.057822965717,-0.0240085109590299,0.0563523106148706,0.546864196975947,0.790389115422202
WBGene00000089,198.28277360061,-0.0327655793857017,0.072363577819589,0.373481048597548,0.663445118482835
WBGene00000090,3143.3462363779,0.00471710712670678,0.0304349023396501,0.866370707365982,0.952740179822835
WBGene00000092,716.584283730868,0.0545915979366211,0.058150762615545,0.195475851632737,0.472680882747125
WBGene00000093,563.967073008242,0.0743644329338898,0.0680804492620272,0.106158171693871,0.33267354224795
WBGene00000094,700.171709520033,-0.00664211815129615,0.0525116837018127,0.864112322746697,0.952083721227669
WBGene00000095,487.612101507136,-0.0440346797278847,0.0624821251591246,0.291949260548722,0.586300497063066
WBGene00000097,926.552957873484,0.0140487432641536,0.0498520534271787,0.716489639567593,0.884819557648324
WBGene00000098,5245.50066534676,0.0108995445188232,0.0255114751376134,0.650663531247994,0.849558248103901
WBGene00000099,1919.0820179843,0.00355062128195554,0.0390305024338236,0.91690849263836,0.97078048215063
WBGene00000100,5544.88145281776,-0.0287148629841519,0.0251132958333018,0.227777856423687,0.51471580843248
WBGene00000101,9443.47800349973,0.0142016410655234,0.0207763206575278,0.45305178056555,0.726582266645862
WBGene00000102,5709.50698001373,-0.0289930733038475,0.0268242347699975,0.248245637069364,0.538661334678554
WBGene00000103,713.572623169155,0.0338987601673055,0.0547565968703574,0.399397357924687,0.686632031007673
WBGene00000105,2075.90910345123,-0.00866346349555051,0.0358475265800988,0.792449998383146,0.923032933724606
WBGene00000106,1512.48923947009,0.0422096294061593,0.0420646585260498,0.233439974390526,0.51980952997061
WBGene00000107,8862.66087249259,0.00411019244481364,0.0207685783589851,0.837027239686896,0.941955519160815
WBGene00000109,2928.85958753746,-0.0147855454826308,0.0328644648832652,0.623701500371979,0.834149496163959
WBGene00000110,7337.4478235748,0.0472678102457689,0.0238750634986611,0.0371109372784888,0.170690448405668
WBGene00000111,336.1642875842,0.0302110484608816,0.0661142375416578,0.44086588309567,0.717495997158368
WBGene00000112,3133.20290266501,0.155886950636851,0.0335744810038036,6.49236005707136e-07,1.78606421652014e-05
WBGene00000113,1108.52401373766,-0.0121245559133711,0.0453999119779332,0.744261250582092,0.901615889646687
WBGene00000114,24564.8143761666,0.159582368494042,0.0158572582340975,1.69328462595811e-24,2.3679527191133e-22
WBGene00000115,4130.52964842984,0.372201908684026,0.0303520741429313,1.01860429425425e-35,2.17059724608941e-33
WBGene00000116,288.892973078066,0.0902951750994797,0.0981868678788686,0.0725933472992011,0.265433782696661
WBGene00000117,1407.52574661713,-0.0129246325344094,0.04130426044696,0.711418563433199,0.883168619034382
WBGene00000118,1734.25231311242,0.205203719660635,0.0446958601402527,5.39863902683834e-07,1.51308411138423e-05
WBGene00000120,211.324877227918,-0.0100251015651194,0.0665008220211902,0.773838200855104,0.914046880328228
WBGene00000121,4557.86794708034,0.0620102044301853,0.0275185321611364,0.0156690791195275,0.0933262587309925
WBGene00000122,4996.57032296924,0.0124551684890671,0.0260267439429096,0.612368193418191,0.827512219854896
WBGene00000123,7732.89633737887,-0.0058706614679166,0.0247924081079853,0.798677822760519,0.924657165810762
WBGene00000133,860.197884185942,0.0868664840365388,0.0584970035582677,0.0507396745445744,0.210565728210483
WBGene00000134,21.6631574876898,-0.0209964685357864,0.0802098386014119,0.173896657012466,NA
WBGene00000135,59.0529986240781,0.0203839665072135,0.0773874309047421,0.381403436030688,0.671080095506159
WBGene00000136,208.809507731468,0.0404318804622664,0.0762782646029218,0.285291049599371,0.580835963128837
WBGene00000137,372.570121827764,0.0258683348362172,0.0635134148636366,0.509416834406265,0.765922387938639
WBGene00000138,896.156686246255,0.00357823642789214,0.0476227715816709,0.899567634796151,0.964749080348358
WBGene00000139,129.470101375527,-0.274218196355954,0.216877350288689,0.00676684655856754,0.0491862350354335
WBGene00000140,7648.88333513105,0.230075475879932,0.046544435154798,8.02683709049091e-08,2.62190481605451e-06
WBGene00000142,3129.09465182305,0.0566931412318392,0.0320545242576672,0.0517906908579655,0.213407509990377
WBGene00000143,2485.20822508918,0.00327242563295596,0.0340091553787804,0.911949387574758,0.969443680086464
WBGene00000144,751.262595498805,0.0469036500865642,0.06020829199898,0.249134937592625,0.539962825803919
WBGene00000145,728.139273901897,0.0638723062971398,0.0583479623664274,0.139064923724399,0.390025403790841
WBGene00000146,4738.68634017784,0.0206567376892897,0.0274326811681149,0.420024093572155,0.702414753715322
WBGene00000147,823.249449841137,-0.0201746452993222,0.0517474156680512,0.579746837598361,0.809138298654537
WBGene00000148,1446.13550102138,-0.0494063025999787,0.0450869142106621,0.183881900206212,0.458083969246315
WBGene00000149,7256.07438470028,-0.0268567687978728,0.0247901023070649,0.253631012252423,0.545934959032993
WBGene00000150,1185.42508450773,-0.0109416301120989,0.0445205976236363,0.765370916815568,0.909678877675717
WBGene00000151,1822.46305335428,-0.0636313686372231,0.0419250386226447,0.0712994734009973,0.262461044806249
WBGene00000155,5092.44772106215,0.063567337649405,0.0286727134706259,0.0168026448926954,0.0979910980384168
WBGene00000156,3826.01563438411,0.0312547192908941,0.0304663761800162,0.263815302562474,0.559425120344529
WBGene00000157,289.867430122996,0.104485292170327,0.102174919914009,0.0502050525227601,0.209122814184938
WBGene00000158,3226.67746242621,-0.00641593488090605,0.0305822354775557,0.83793194997674,0.942010840848871
WBGene00000159,1030.21590001298,0.00829459248025641,0.0477936203196823,0.827526917771832,0.937356469042089
WBGene00000160,3947.47558986155,0.0217176153108136,0.0293870010452553,0.424242537677542,0.70540699384704
WBGene00000161,1256.04536809597,0.0696328486033144,0.049155320021641,0.0786556938524198,0.278615485479877
WBGene00000162,2300.64097957331,-0.0182425661670307,0.0357847705591688,0.564449020144649,0.800660283179246
WBGene00000163,3213.32165625247,-0.012191888367643,0.0307984126249859,0.683848270822605,0.868147804803165
WBGene00000164,374.844228511776,0.00452453570476697,0.0602589280973176,0.902002213351039,0.965304332016476
WBGene00000165,1454.35736003863,0.0184999874228136,0.0415488369267169,0.598711705230126,0.820676398071722
WBGene00000166,32.2674829625034,-0.0253862464143866,0.0811950522979556,0.180989039106367,0.454418898448285
WBGene00000168,3095.00178815485,0.0119804212086866,0.031316520613414,0.676167549198492,0.863870322420037
WBGene00000169,1343.91838752482,-0.190735215172406,0.0512782482463417,2.51107218890869e-05,0.000465623537791424
WBGene00000170,1573.33522794196,0.0459136440853065,0.0420334837741639,0.203826273021713,0.484295049859018
WBGene00000172,427.321641913738,-0.0767476242263786,0.0753791710123089,0.100623783848843,0.32232743931537
WBGene00000174,24.9024113750166,0.0237839156546238,0.0811456659240888,0.152408885497628,NA
WBGene00000175,6215.78108104812,0.100852631413251,0.0257288797416379,3.4098988926997e-05,0.000602340692559125
WBGene00000176,1473.02521773422,0.197908829794004,0.053413022730412,2.53935206817565e-05,0.000468604921608969
WBGene00000177,163.487690801006,0.00441003006412547,0.0682551019857051,0.894001685383767,0.963288635615516
WBGene00000178,1510.41164265428,0.0898136595916853,0.0461858190026347,0.0201467224904297,0.111540314570362
WBGene00000179,788.665975318992,0.20292982320882,0.067047259624681,0.000259941050429867,0.00349670200603303
WBGene00000180,400.643910624094,0.0285614837568124,0.0616238809101762,0.475620732584229,0.741557418799821
WBGene00000181,4336.52646059596,0.0760923924989504,0.0289932077163604,0.00464512018225787,0.0370671361528212
WBGene00000182,9700.63083031482,0.152935228720035,0.0224461481892966,2.0444882495022e-12,1.24760248861669e-10
WBGene00000183,7333.45564941415,0.100832677140355,0.0238906076499943,9.53733364867452e-06,0.00019668003722497
WBGene00000184,1050.51701849701,0.0599678524226633,0.0518318131122789,0.136499613976084,0.385709812171948
WBGene00000186,1510.80232961789,-0.116628379378266,0.0509091010784448,0.0056384815750861,0.0430583703899493
WBGene00000187,1181.93411202875,0.0458982712559552,0.0474213725313628,0.21509766776815,0.497962784926267
WBGene00000188,70.5447263881155,-0.0916316786322292,0.15957765306962,0.0192069549177453,0.107753184191697
WBGene00000189,457.435496676054,0.0045655167906433,0.0576603461934246,0.906598527277462,0.96757176474282
WBGene00000190,118.688937553246,0.0300844368288615,0.0787012420292881,0.305293123125656,0.601314580100049
WBGene00000191,24.1789462875985,0.0077158429984698,0.0765320486792756,0.623731393899592,NA
WBGene00000192,3138.23703170773,0.0765273481088747,0.0359787260824811,0.0168499682568803,0.0981161392050758
WBGene00000195,376.357066040598,0.0238388428145282,0.0618607447977511,0.544061496268693,0.788948592734027
WBGene00000196,1246.58852009731,-0.0427424360204969,0.0452731880652875,0.248400495863039,0.538736131980823
WBGene00000197,10257.2264227526,0.0322681194507946,0.0205774182327262,0.0974202124909033,0.316748610088401
WBGene00000198,4751.75552910639,0.13145609665955,0.0306513277943985,4.50155941687597e-06,0.000100890542857362
WBGene00000199,2275.3236954472,0.0452144042405904,0.0379450544061362,0.171675393533485,0.440496371762148
WBGene00000200,3664.24130595578,-0.01788918011074,0.0305299887540387,0.51718442489726,0.772365395826138
WBGene00000201,2609.34060070277,-0.0135583041804071,0.0333823092199658,0.652684763947902,0.850615100752802
WBGene00000202,1425.50241082712,0.00911735877158187,0.0419991266544749,0.784755661571767,0.918174481373216
WBGene00000203,1086.66745196604,0.139597222902649,0.0577669305141896,0.00296002093214947,0.0263516452348187
WBGene00000204,1327.65225552778,0.021927936547533,0.0427197909676322,0.539686077133506,0.787062546305149
WBGene00000205,835.29651347506,-0.0139678768810175,0.0495693542820413,0.759868625065735,0.907234592063092
WBGene00000206,7526.9545106775,0.0414539766454804,0.0236508223543991,0.0648555927619297,0.247424362838564
WBGene00000207,8702.21629792141,0.130058274378381,0.0231332561466131,5.02380583817015e-09,1.97206413384311e-07
WBGene00000208,1396.45095272853,-0.0539586012613781,0.0444589877697531,0.145468411514989,0.400926590964634
WBGene00000209,3449.03830802909,0.0884597809010959,0.0331031269486452,0.00330810519624469,0.0285259228676642
WBGene00000210,2533.73843179286,0.130800259091966,0.0368727331924849,9.47195078794511e-05,0.00145826765284591
WBGene00000211,375.598576879295,-0.0091722637768101,0.0598709935739132,0.810960190602385,0.929526689344988
WBGene00000212,338.018270130787,0.139716061731845,0.109549248609684,0.0228014070045568,0.12210167093585
WBGene00000214,56864.2145658073,0.0478355262458968,0.0127388149678035,0.000132246636086334,0.00194383486260171
WBGene00000215,18760.0137620889,0.0902740894259602,0.018554126746878,6.99339936972322e-07,1.91585388180046e-05
WBGene00000216,26710.3132199326,-0.00898750756311967,0.0148051425378024,0.521283968583099,0.775107249341557
WBGene00000217,6966.20224734641,0.0592033535458607,0.0251901027674004,0.0126939723649815,0.0799327293620435
WBGene00000218,18595.4985976266,0.0226085717898729,0.017154010394205,0.173428576753411,0.442722693081297
WBGene00000219,33482.0975433966,0.0148858492692501,0.0155904550579409,0.33406573426992,0.628391632002817
WBGene00000220,57.4929083262408,-0.00421855382094549,0.0739546393281171,0.853094674597355,0.948628841751801
WBGene00000221,2779.89628544824,0.157952291395989,0.0362950404418484,2.45515454962935e-06,5.79269768519755e-05
WBGene00000222,414.60355174516,-0.0634083671486612,0.0751659655996846,0.15801412611491,0.420483576430657
WBGene00000223,7408.01659014041,0.0902196329688784,0.0243226694114243,9.37051179673791e-05,0.00145097025226305
WBGene00000224,1327.25753647771,-0.0402722919318824,0.045043085066403,0.276464102376057,0.571339983410089
WBGene00000225,745.262274802436,0.0691434737983279,0.0662002159216614,0.128678750561349,0.373193395179543
WBGene00000226,4660.01701075842,0.00853039883573055,0.0265288129723984,0.733169999388683,0.893825575898389
WBGene00000227,2237.54934371091,-0.0863247966074315,0.0383021878767942,0.0104983430089956,0.0692982062690979
WBGene00000228,7413.19668268474,0.0282427790493895,0.0221929697932164,0.183664320786021,0.45762685719234
WBGene00000229,66946.7823231794,0.0548656605438491,0.01300080882366,1.78310989972483e-05,0.000342464240397794
WBGene00000230,12704.2785646194,0.0735668073422156,0.0199802149153482,0.000140698565801171,0.00205338166558425
WBGene00000231,7229.06274237008,0.0778841310518994,0.0261536180496085,0.00153766221954008,0.0156150645214263
WBGene00000232,159.266976781401,-0.0066008219016555,0.068204373747134,0.87010633729987,0.954037305431864
WBGene00000233,530.327597535304,0.0243840823440513,0.0579298409037224,0.535444963723176,0.784582911807863
WBGene00000235,2085.9402234419,0.0417501729876574,0.0384664701341428,0.21200440735858,0.495122027853535
WBGene00000236,1332.78955049895,0.00699560072492432,0.0420537744293448,0.843561245214715,0.94412752955461
WBGene00000237,815.235031102505,-0.116254806834124,0.063769394683005,0.0157342578342196,0.0936729097225711
WBGene00000238,461.789626280272,-0.0454589987047513,0.0653885816440545,0.278669948800513,0.573775611561155
WBGene00000239,551.116022334095,0.425073140682359,0.0809189081601246,8.80100383278227e-09,3.30962118921854e-07
WBGene00000240,987.29264043132,-0.00684368460704078,0.0479604910266079,0.853527195528414,0.948716890211041
