Sample	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed
ascr_50_r1	29649101	9446006	29649101	1482455050	517588	1463739399	1.262476794827607
ascr_50_r2	29390799	9367406	29390799	1469539950	517469	1450182597	1.3172389767287374
ascr_50_r3	31516409	10025436	31516409	1575820450	543859	1555713635	1.2759585014904458
ascr_58_r1	34427326	11114342	34427326	1721366300	608278	1699544964	1.2676753344131346
ascr_58_r2	27862852	8946042	27862852	1393142600	490059	1375593395	1.2596847587605173
ascr_58_r3	28100637	9102253	28100637	1405031850	497456	1385181671	1.4127921014744256
control_50_r1	28149440	8989783	28149440	1407472000	499220	1389270561	1.2932007883638181
control_50_r2	34237662	10897415	34237662	1711883100	595829	1689714893	1.294960327606482
control_50_r3	26833166	8540148	26833166	1341658300	486191	1324889396	1.2498639929406763
control_58_r1	29645319	9549037	29645319	1482265950	497943	1463563650	1.2617371396813102
control_58_r2	27421406	8858327	27421406	1371070300	496031	1353698460	1.2670276644457983
control_58_r3	27071970	8720385	27071970	1353598500	476944	1336475158	1.265023712718358
