Sample	Samtools_mqc-generalstats-samtools-flagstat_total	Samtools_mqc-generalstats-samtools-mapped_passed	DupRadar_mqc-generalstats-dupradar-dupRadar_intercept	Biotype Counts_mqc-generalstats-biotype_counts-percent_rRNA	HISAT2_mqc-generalstats-hisat2-overall_alignment_rate	Picard_mqc-generalstats-picard-PERCENT_DUPLICATION	QualiMap_mqc-generalstats-qualimap-5_3_bias	QualiMap_mqc-generalstats-qualimap-reads_aligned	Salmon_mqc-generalstats-salmon-percent_mapped	Salmon_mqc-generalstats-salmon-num_mapped	Samtools_mqc-generalstats-samtools-error_rate	Samtools_mqc-generalstats-samtools-non_primary_alignments	Samtools_mqc-generalstats-samtools-reads_mapped	Samtools_mqc-generalstats-samtools-reads_mapped_percent	Samtools_mqc-generalstats-samtools-reads_properly_paired_percent	Samtools_mqc-generalstats-samtools-reads_MQ0_percent	Samtools_mqc-generalstats-samtools-raw_total_sequences	FastQC (raw)_mqc-generalstats-fastqc_raw-percent_duplicates	FastQC (raw)_mqc-generalstats-fastqc_raw-percent_gc	FastQC (raw)_mqc-generalstats-fastqc_raw-avg_sequence_length	FastQC (raw)_mqc-generalstats-fastqc_raw-percent_fails	FastQC (raw)_mqc-generalstats-fastqc_raw-total_sequences	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-percent_duplicates	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-percent_gc	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-avg_sequence_length	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-percent_fails	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-total_sequences
ascr_50_r1	29146485	29146485	0.0521584617717612	0.39751392353909304	98.65	0.80493	0.99	29146485.0	95.991285650818	28360466	0.001153599	0.0	29146485.0	100.0	0.0	0.16724143580263623	29146485.0	71.70118448971502	47.0	50.0	27.27272727272727	29649101.0	1.262476794827607	71.14793352309006	47.0	49.53949851266722	27.27272727272727	29544834.0
ascr_50_r2	28873840	28873840	0.050946913759967	1.3284992264129503	98.64	0.804661	0.98	28873840.0	95.95122785816793	28085621	0.001153331	0.0	28873840.0	100.0	0.0	0.19728584767388058	28873840.0	72.22104311562084	47.0	50.0	27.27272727272727	29390799.0	1.3172389767287374	71.66640156847043	47.0	49.539950529412906	27.27272727272727	29270726.0
ascr_50_r3	30976484	30976484	0.0589235500316844	0.37708082148065614	98.65	0.81236	0.96	30976484.0	95.9824315654763	30139093	0.001138414	0.0	30976484.0	100.0	0.0	0.15964691150874322	30976484.0	73.38914420318669	47.0	50.0	27.27272727272727	31516409.0	1.2759585014904458	72.81789389757976	47.0	49.540610309313806	27.27272727272727	31400635.0
ascr_58_r1	33837730	33837730	0.0694228380027681	0.422709345825228	98.63	0.829135	1.05	33837730.0	95.99086219257536	32932976	0.001148319	0.0	33837730.0	100.0	0.0	0.1641392611147379	33837730.0	74.60165348881229	46.0	50.0	27.27272727272727	34427326.0	1.2676753344131346	74.05766120275337	46.0	49.53414116738416	27.27272727272727	34308449.0
ascr_58_r2	27391219	27391219	0.0611181888934125	0.21433462739345963	98.64	0.808959	1.05	27391219.0	96.08289240149026	26680017	0.001126845	0.0	27391219.0	100.0	0.0	0.1479561752983684	27391219.0	73.16805550906726	46.0	50.0	27.27272727272727	27862852.0	1.2596847587605173	72.66163586597898	46.0	49.5359826601461	27.27272727272727	27767708.0
ascr_58_r3	27581618	27581618	0.0630462463711753	0.31748807455963124	98.64	0.808061	1.03	27581618.0	95.94621962723325	26828575	0.001144023	0.0	27581618.0	100.0	0.0	0.15114051684712623	27581618.0	72.72829967759294	46.0	50.0	18.181818181818183	28100637.0	1.4127921014744256	72.10980604397453	46.0	49.5336302924634	27.27272727272727	27962097.0
control_50_r1	27647167	27647167	0.0443713047246198	0.3886240785574725	98.59	0.79221	1.01	27647167.0	95.73950787567028	26847875	0.001148056	0.0	27647167.0	100.0	0.0	0.15996937407727888	27647167.0	70.06467820164082	46.0	50.0	27.27272727272727	28149440.0	1.2932007883638181	69.47823982328002	47.0	49.539701502309214	27.27272727272727	28042629.0
control_50_r2	33639845	33639845	0.0596658321972949	0.2508688494346123	98.63	0.816052	0.98	33639845.0	95.89491167642403	32705605	0.001172267	0.0	33639845.0	100.0	0.0	0.16061310627323047	33639845.0	73.46524598952094	46.0	50.0	27.27272727272727	34237662.0	1.294960327606482	72.90524448711878	47.0	49.54076015447635	27.27272727272727	34105673.0
control_50_r3	26364423	26364423	0.0469855481685529	0.1997334597201527	98.59	0.788972	1.01	26364423.0	95.8427453419345	25630681	0.001163575	0.0	26364423.0	100.0	0.0	0.15492468771268006	26364423.0	69.70232865234632	46.0	50.0	27.27272727272727	26833166.0	1.2498639929406763	69.12333479042336	47.0	49.539462940393754	27.27272727272727	26742432.0
control_58_r1	29148992	29148992	0.053738942879211	0.23503138923619887	98.66	0.811032	1.02	29148992.0	96.07784925077463	28384965	0.001145371	0.0	29148992.0	100.0	0.0	0.15278744458813534	29148992.0	72.76966908571742	46.0	50.0	27.27272727272727	29645319.0	1.2617371396813102	72.24158241971725	46.0	49.53515742807421	27.27272727272727	29543714.0
control_58_r2	26937159	26937159	0.0532182146198535	0.4766486545642937	98.57	0.804395	1.05	26937159.0	95.909629281748	26209515	0.001133525	0.0	26937159.0	100.0	0.0	0.1580493325224089	26937159.0	71.8228278915248	46.0	50.0	27.27272727272727	27421406.0	1.2670276644457983	71.23247123090361	46.0	49.53326619900983	27.27272727272727	27327303.0
control_58_r3	26607892	26607892	0.0488353924836936	0.2146861586562019	98.63	0.799905	1.0	26607892.0	96.027664023333	25906759	0.001153893	0.0	26607892.0	100.0	0.0	0.15504422522460629	26607892.0	71.59109304334179	46.0	50.0	27.27272727272727	27071970.0	1.265023712718358	71.09001912403619	46.0	49.53441447099615	27.27272727272727	26978433.0
