Sample	unpaired_total	unpaired_aligned_none	unpaired_aligned_one	unpaired_aligned_multi	overall_alignment_rate
ascr_50_r1	29544834	398349	27905277	1241208	98.65
ascr_50_r2	29270726	396886	27480332	1393508	98.64
ascr_50_r3	31400635	424151	29676441	1300043	98.65
ascr_58_r1	34308449	470719	32404850	1432880	98.63
ascr_58_r2	27767708	376489	26280299	1110920	98.64
ascr_58_r3	27962097	380479	26473599	1108019	98.64
control_50_r1	28042629	395462	26499630	1147537	98.59
control_50_r2	34105673	465828	32267035	1372810	98.63
control_50_r3	26742432	378009	25305531	1058892	98.59
control_58_r1	29543714	394722	27976026	1172966	98.66
control_58_r2	27327303	390144	25798849	1138310	98.57
control_58_r3	26978433	370541	25536883	1071009	98.63
