Sample	salmon_version	samp_type	opt_type	quant_errors	num_libraries	library_types	frag_dist_length	frag_length_mean	frag_length_sd	seq_bias_correct	gc_bias_correct	num_bias_bins	mapping_type	keep_duplicates	num_valid_targets	num_decoy_targets	num_eq_classes	serialized_eq_classes	eq_class_properties	length_classes	index_seq_hash	index_name_hash	index_seq_hash512	index_name_hash512	index_decoy_seq_hash	index_decoy_name_hash	num_bootstraps	num_processed	num_mapped	num_decoy_fragments	num_dovetail_fragments	num_fragments_filtered_vm	num_alignments_below_threshold_for_mapped_fragments_vm	percent_mapped	call	start_time	end_time
ascr_50_r1	1.4.0	none	vb	[]	1	['SR']	1001	250.0000097391447	25.001769513739426	False	False	4096	mapping	False	60492	7	50120	False	['range_factorized', 'gzipped']	[21, 214, 927, 1625, 45905]	e83c3f06861f32f7c13c4589650cb2031ca4e9734d9adaa36872f4ee46de1b6b	18f83075364802718d1432aebdd2ea7cf1a1f4d1159b35986bca31289f05eb0e	cdf6803ec171b577ee22e35c8eeaaf0f9fdc8e0e8cdcd9d871d2be99c2131161ab078df006b7ddb053bef6c7b97fd8c0db38e9f49e9981d2caa540b5dfc2900c	f282b57647fe74321a0eff49b79ecaf1b1e1cc3ef167153471fb4d6d536ea8d2ae6df9e29fbddf266739346177e9053b9732f6ab37146091d7c1564b661d044a	dd69516ffc7e61737f6ff57022e28bc2d2f3f8cd275973bc0726ea6aa71d21ad	ac4ed1e90c8ac413849619f2eb12adcad73022fe097a9f160569a50eee54916a	0	29544834	28360466	102762	0	158624	2358827	95.991285650818	quant	Fri Jun 04 15:10:52 2021	Fri Jun 04 15:11:53 2021
ascr_50_r2	1.4.0	none	vb	[]	1	['SR']	1001	250.0000097391447	25.001769513739426	False	False	4096	mapping	False	60492	7	50300	False	['range_factorized', 'gzipped']	[21, 214, 927, 1625, 45905]	e83c3f06861f32f7c13c4589650cb2031ca4e9734d9adaa36872f4ee46de1b6b	18f83075364802718d1432aebdd2ea7cf1a1f4d1159b35986bca31289f05eb0e	cdf6803ec171b577ee22e35c8eeaaf0f9fdc8e0e8cdcd9d871d2be99c2131161ab078df006b7ddb053bef6c7b97fd8c0db38e9f49e9981d2caa540b5dfc2900c	f282b57647fe74321a0eff49b79ecaf1b1e1cc3ef167153471fb4d6d536ea8d2ae6df9e29fbddf266739346177e9053b9732f6ab37146091d7c1564b661d044a	dd69516ffc7e61737f6ff57022e28bc2d2f3f8cd275973bc0726ea6aa71d21ad	ac4ed1e90c8ac413849619f2eb12adcad73022fe097a9f160569a50eee54916a	0	29270726	28085621	100977	0	159921	2347505	95.95122785816793	quant	Fri Jun 04 15:13:39 2021	Fri Jun 04 15:14:37 2021
ascr_50_r3	1.4.0	none	vb	[]	1	['SR']	1001	250.0000097391447	25.001769513739426	False	False	4096	mapping	False	60492	7	50297	False	['range_factorized', 'gzipped']	[21, 214, 927, 1625, 45905]	e83c3f06861f32f7c13c4589650cb2031ca4e9734d9adaa36872f4ee46de1b6b	18f83075364802718d1432aebdd2ea7cf1a1f4d1159b35986bca31289f05eb0e	cdf6803ec171b577ee22e35c8eeaaf0f9fdc8e0e8cdcd9d871d2be99c2131161ab078df006b7ddb053bef6c7b97fd8c0db38e9f49e9981d2caa540b5dfc2900c	f282b57647fe74321a0eff49b79ecaf1b1e1cc3ef167153471fb4d6d536ea8d2ae6df9e29fbddf266739346177e9053b9732f6ab37146091d7c1564b661d044a	dd69516ffc7e61737f6ff57022e28bc2d2f3f8cd275973bc0726ea6aa71d21ad	ac4ed1e90c8ac413849619f2eb12adcad73022fe097a9f160569a50eee54916a	0	31400635	30139093	111656	0	174881	2533108	95.9824315654763	quant	Fri Jun 04 15:11:54 2021	Fri Jun 04 15:12:54 2021
ascr_58_r1	1.4.0	none	vb	[]	1	['SR']	1001	250.0000097391447	25.001769513739426	False	False	4096	mapping	False	60492	7	48410	False	['range_factorized', 'gzipped']	[21, 214, 927, 1625, 45905]	e83c3f06861f32f7c13c4589650cb2031ca4e9734d9adaa36872f4ee46de1b6b	18f83075364802718d1432aebdd2ea7cf1a1f4d1159b35986bca31289f05eb0e	cdf6803ec171b577ee22e35c8eeaaf0f9fdc8e0e8cdcd9d871d2be99c2131161ab078df006b7ddb053bef6c7b97fd8c0db38e9f49e9981d2caa540b5dfc2900c	f282b57647fe74321a0eff49b79ecaf1b1e1cc3ef167153471fb4d6d536ea8d2ae6df9e29fbddf266739346177e9053b9732f6ab37146091d7c1564b661d044a	dd69516ffc7e61737f6ff57022e28bc2d2f3f8cd275973bc0726ea6aa71d21ad	ac4ed1e90c8ac413849619f2eb12adcad73022fe097a9f160569a50eee54916a	0	34308449	32932976	115897	0	184922	2506159	95.99086219257536	quant	Fri Jun 04 15:14:39 2021	Fri Jun 04 15:15:43 2021
ascr_58_r2	1.4.0	none	vb	[]	1	['SR']	1001	250.0000097391447	25.001769513739426	False	False	4096	mapping	False	60492	7	47233	False	['range_factorized', 'gzipped']	[21, 214, 927, 1625, 45905]	e83c3f06861f32f7c13c4589650cb2031ca4e9734d9adaa36872f4ee46de1b6b	18f83075364802718d1432aebdd2ea7cf1a1f4d1159b35986bca31289f05eb0e	cdf6803ec171b577ee22e35c8eeaaf0f9fdc8e0e8cdcd9d871d2be99c2131161ab078df006b7ddb053bef6c7b97fd8c0db38e9f49e9981d2caa540b5dfc2900c	f282b57647fe74321a0eff49b79ecaf1b1e1cc3ef167153471fb4d6d536ea8d2ae6df9e29fbddf266739346177e9053b9732f6ab37146091d7c1564b661d044a	dd69516ffc7e61737f6ff57022e28bc2d2f3f8cd275973bc0726ea6aa71d21ad	ac4ed1e90c8ac413849619f2eb12adcad73022fe097a9f160569a50eee54916a	0	27767708	26680017	90176	0	145848	2041042	96.08289240149026	quant	Fri Jun 04 15:10:48 2021	Fri Jun 04 15:11:46 2021
ascr_58_r3	1.4.0	none	vb	[]	1	['SR']	1001	250.0000097391447	25.001769513739426	False	False	4096	mapping	False	60492	7	47478	False	['range_factorized', 'gzipped']	[21, 214, 927, 1625, 45905]	e83c3f06861f32f7c13c4589650cb2031ca4e9734d9adaa36872f4ee46de1b6b	18f83075364802718d1432aebdd2ea7cf1a1f4d1159b35986bca31289f05eb0e	cdf6803ec171b577ee22e35c8eeaaf0f9fdc8e0e8cdcd9d871d2be99c2131161ab078df006b7ddb053bef6c7b97fd8c0db38e9f49e9981d2caa540b5dfc2900c	f282b57647fe74321a0eff49b79ecaf1b1e1cc3ef167153471fb4d6d536ea8d2ae6df9e29fbddf266739346177e9053b9732f6ab37146091d7c1564b661d044a	dd69516ffc7e61737f6ff57022e28bc2d2f3f8cd275973bc0726ea6aa71d21ad	ac4ed1e90c8ac413849619f2eb12adcad73022fe097a9f160569a50eee54916a	0	27962097	26828575	108918	0	163080	2060044	95.94621962723325	quant	Fri Jun 04 15:09:56 2021	Fri Jun 04 15:10:50 2021
control_50_r1	1.4.0	none	vb	[]	1	['SR']	1001	250.0000097391447	25.001769513739426	False	False	4096	mapping	False	60492	7	50319	False	['range_factorized', 'gzipped']	[21, 214, 927, 1625, 45905]	e83c3f06861f32f7c13c4589650cb2031ca4e9734d9adaa36872f4ee46de1b6b	18f83075364802718d1432aebdd2ea7cf1a1f4d1159b35986bca31289f05eb0e	cdf6803ec171b577ee22e35c8eeaaf0f9fdc8e0e8cdcd9d871d2be99c2131161ab078df006b7ddb053bef6c7b97fd8c0db38e9f49e9981d2caa540b5dfc2900c	f282b57647fe74321a0eff49b79ecaf1b1e1cc3ef167153471fb4d6d536ea8d2ae6df9e29fbddf266739346177e9053b9732f6ab37146091d7c1564b661d044a	dd69516ffc7e61737f6ff57022e28bc2d2f3f8cd275973bc0726ea6aa71d21ad	ac4ed1e90c8ac413849619f2eb12adcad73022fe097a9f160569a50eee54916a	0	28042629	26847875	101839	0	160668	2269024	95.73950787567028	quant	Fri Jun 04 15:14:51 2021	Fri Jun 04 15:15:47 2021
control_50_r2	1.4.0	none	vb	[]	1	['SR']	1001	250.0000097391447	25.001769513739426	False	False	4096	mapping	False	60492	7	51252	False	['range_factorized', 'gzipped']	[21, 214, 927, 1625, 45905]	e83c3f06861f32f7c13c4589650cb2031ca4e9734d9adaa36872f4ee46de1b6b	18f83075364802718d1432aebdd2ea7cf1a1f4d1159b35986bca31289f05eb0e	cdf6803ec171b577ee22e35c8eeaaf0f9fdc8e0e8cdcd9d871d2be99c2131161ab078df006b7ddb053bef6c7b97fd8c0db38e9f49e9981d2caa540b5dfc2900c	f282b57647fe74321a0eff49b79ecaf1b1e1cc3ef167153471fb4d6d536ea8d2ae6df9e29fbddf266739346177e9053b9732f6ab37146091d7c1564b661d044a	dd69516ffc7e61737f6ff57022e28bc2d2f3f8cd275973bc0726ea6aa71d21ad	ac4ed1e90c8ac413849619f2eb12adcad73022fe097a9f160569a50eee54916a	0	34105673	32705605	115539	0	184989	2764592	95.89491167642403	quant	Fri Jun 04 15:09:38 2021	Fri Jun 04 15:10:46 2021
control_50_r3	1.4.0	none	vb	[]	1	['SR']	1001	250.0000097391447	25.001769513739426	False	False	4096	mapping	False	60492	7	50193	False	['range_factorized', 'gzipped']	[21, 214, 927, 1625, 45905]	e83c3f06861f32f7c13c4589650cb2031ca4e9734d9adaa36872f4ee46de1b6b	18f83075364802718d1432aebdd2ea7cf1a1f4d1159b35986bca31289f05eb0e	cdf6803ec171b577ee22e35c8eeaaf0f9fdc8e0e8cdcd9d871d2be99c2131161ab078df006b7ddb053bef6c7b97fd8c0db38e9f49e9981d2caa540b5dfc2900c	f282b57647fe74321a0eff49b79ecaf1b1e1cc3ef167153471fb4d6d536ea8d2ae6df9e29fbddf266739346177e9053b9732f6ab37146091d7c1564b661d044a	dd69516ffc7e61737f6ff57022e28bc2d2f3f8cd275973bc0726ea6aa71d21ad	ac4ed1e90c8ac413849619f2eb12adcad73022fe097a9f160569a50eee54916a	0	26742432	25630681	92793	0	145496	2163144	95.8427453419345	quant	Fri Jun 04 15:12:56 2021	Fri Jun 04 15:13:49 2021
control_58_r1	1.4.0	none	vb	[]	1	['SR']	1001	250.0000097391447	25.001769513739426	False	False	4096	mapping	False	60492	7	48585	False	['range_factorized', 'gzipped']	[21, 214, 927, 1625, 45905]	e83c3f06861f32f7c13c4589650cb2031ca4e9734d9adaa36872f4ee46de1b6b	18f83075364802718d1432aebdd2ea7cf1a1f4d1159b35986bca31289f05eb0e	cdf6803ec171b577ee22e35c8eeaaf0f9fdc8e0e8cdcd9d871d2be99c2131161ab078df006b7ddb053bef6c7b97fd8c0db38e9f49e9981d2caa540b5dfc2900c	f282b57647fe74321a0eff49b79ecaf1b1e1cc3ef167153471fb4d6d536ea8d2ae6df9e29fbddf266739346177e9053b9732f6ab37146091d7c1564b661d044a	dd69516ffc7e61737f6ff57022e28bc2d2f3f8cd275973bc0726ea6aa71d21ad	ac4ed1e90c8ac413849619f2eb12adcad73022fe097a9f160569a50eee54916a	0	29543714	28384965	89047	0	146471	2173747	96.07784925077463	quant	Fri Jun 04 15:13:51 2021	Fri Jun 04 15:14:49 2021
