Sample	I	II	III	IV	V	X	MtDNA	*
ascr_50_r1	[6156852, 15072434]	[4174098, 15279421]	[5764138, 13783801]	[5566541, 17493829]	[4500782, 20924180]	[2715315, 17718942]	[268759, 13794]	[0, 0]
ascr_50_r2	[6450517, 15072434]	[4071937, 15279421]	[5619360, 13783801]	[5435447, 17493829]	[4388346, 20924180]	[2648705, 17718942]	[259528, 13794]	[0, 0]
ascr_50_r3	[6531668, 15072434]	[4443763, 15279421]	[6137438, 13783801]	[5925605, 17493829]	[4784920, 20924180]	[2880566, 17718942]	[272524, 13794]	[0, 0]
ascr_58_r1	[7187962, 15072434]	[4803220, 15279421]	[6870078, 13783801]	[6304835, 17493829]	[4883868, 20924180]	[3519186, 17718942]	[268581, 13794]	[0, 0]
ascr_58_r2	[5731191, 15072434]	[3907046, 15279421]	[5591249, 13783801]	[5133784, 17493829]	[3978995, 20924180]	[2857589, 17718942]	[191365, 13794]	[0, 0]
ascr_58_r3	[5833088, 15072434]	[3944809, 15279421]	[5627127, 13783801]	[5141727, 17493829]	[4012178, 20924180]	[2796697, 17718942]	[225992, 13794]	[0, 0]
control_50_r1	[5872244, 15072434]	[4001723, 15279421]	[5492183, 13783801]	[5261337, 17493829]	[4332319, 20924180]	[2430937, 17718942]	[256424, 13794]	[0, 0]
control_50_r2	[7078747, 15072434]	[4867945, 15279421]	[6700427, 13783801]	[6433400, 17493829]	[5286662, 20924180]	[2987027, 17718942]	[285637, 13794]	[0, 0]
control_50_r3	[5524420, 15072434]	[3822109, 15279421]	[5258825, 13783801]	[5039509, 17493829]	[4145430, 20924180]	[2348914, 17718942]	[225216, 13794]	[0, 0]
control_58_r1	[6118514, 15072434]	[4156527, 15279421]	[5938128, 13783801]	[5454111, 17493829]	[4249067, 20924180]	[3018595, 17718942]	[214050, 13794]	[0, 0]
control_58_r2	[5781285, 15072434]	[3830833, 15279421]	[5471823, 13783801]	[4997413, 17493829]	[3922418, 20924180]	[2721996, 17718942]	[211391, 13794]	[0, 0]
control_58_r3	[5577706, 15072434]	[3788754, 15279421]	[5426963, 13783801]	[4989986, 17493829]	[3868148, 20924180]	[2767626, 17718942]	[188709, 13794]	[0, 0]
