ensembl_gene_id	external_gene_name	ensembl_transcript_id	description	chromosome_name	start_position	end_position	strand
1	WBGene00000001	aap-1	Y110A7A.10.1	Phosphoinositide 3-kinase adapter subunit; Phosphoinositide kinase AdAPter subunit  [Source:UniProtKB/TrEMBL;Acc:G5EDP9]	I	5107833	5110183	1
2	WBGene00000001	aap-1	Y110A7A.10.2	Phosphoinositide 3-kinase adapter subunit; Phosphoinositide kinase AdAPter subunit  [Source:UniProtKB/TrEMBL;Acc:G5EDP9]	I	5107833	5110183	1
3	WBGene00000002	aat-1	F27C8.1.1	Amino Acid Transporter  [Source:UniProtKB/TrEMBL;Acc:Q19834]	IV	9598986	9601695	-1
4	WBGene00000002	aat-1	F27C8.1.2	Amino Acid Transporter  [Source:UniProtKB/TrEMBL;Acc:Q19834]	IV	9598986	9601695	-1
5	WBGene00000003	aat-2	F07C3.7.1	Amino Acid Transporter  [Source:UniProtKB/TrEMBL;Acc:Q19151]	V	9244402	9246360	-1
6	WBGene00000004	aat-3	F52H2.2a.1	Amino Acid Transporter  [Source:UniProtKB/TrEMBL;Acc:A0A0K3AVL7]	X	2552436	2557726	1
7	WBGene00000004	aat-3	F52H2.2b.1	Amino Acid Transporter  [Source:UniProtKB/TrEMBL;Acc:A0A0K3AVL7]	X	2552436	2557726	1
8	WBGene00000005	aat-4	T13A10.10a.1	Amino Acid Transporter  [Source:UniProtKB/TrEMBL;Acc:Q7YXH5]	IV	6272529	6275713	-1
9	WBGene00000005	aat-4	T13A10.10b	Amino Acid Transporter  [Source:UniProtKB/TrEMBL;Acc:Q7YXH5]	IV	6272529	6275713	-1
10	WBGene00000006	aat-5	C55C2.5a.1	Amino Acid Transporter  [Source:UniProtKB/TrEMBL;Acc:H2KZG9]	I	2571782	2576020	-1
11	WBGene00000006	aat-5	C55C2.5b	Amino Acid Transporter  [Source:UniProtKB/TrEMBL;Acc:H2KZG9]	I	2571782	2576020	-1
12	WBGene00000006	aat-5	C55C2.5c	Amino Acid Transporter  [Source:UniProtKB/TrEMBL;Acc:H2KZG9]	I	2571782	2576020	-1
13	WBGene00000006	aat-5	C55C2.5d	Amino Acid Transporter  [Source:UniProtKB/TrEMBL;Acc:H2KZG9]	I	2571782	2576020	-1
14	WBGene00000007	aat-6	T11F9.4a.1	Amino Acid Transporter  [Source:UniProtKB/TrEMBL;Acc:Q22397]	V	11466844	11470663	-1
15	WBGene00000007	aat-6	T11F9.4b.1	Amino Acid Transporter  [Source:UniProtKB/TrEMBL;Acc:Q22397]	V	11466844	11470663	-1
16	WBGene00000008	aat-7	F54D12.3.1	Amino Acid Transporter  [Source:UniProtKB/TrEMBL;Acc:O44832]	II	1386888	1391567	1
17	WBGene00000009	aat-8	F28F9.4.1	Amino Acid Transporter  [Source:UniProtKB/TrEMBL;Acc:Q94197]	IV	3862129	3865042	-1
18	WBGene00000010	aat-9	Y53H1C.1a.1	Amino Acid Transporter  [Source:UniProtKB/TrEMBL;Acc:Q56VY0]	I	11388689	11396660	-1
19	WBGene00000010	aat-9	Y53H1C.1b.1	Amino Acid Transporter  [Source:UniProtKB/TrEMBL;Acc:Q56VY0]	I	11388689	11396660	-1
20	WBGene00000012	abf-1	C50F2.9.1	Antibacterial factor-related peptide 1  [Source:UniProtKB/Swiss-Prot;Acc:G5EGC4]	I	3886111	3887080	-1
21	WBGene00000013	abf-2	C50F2.10.1	Antibacterial factor-related peptide 2  [Source:UniProtKB/Swiss-Prot;Acc:G5EC68]	I	3885548	3885905	-1
22	WBGene00000014	abf-3	F54B8.5.1	AntiBacterial Factor related  [Source:UniProtKB/TrEMBL;Acc:O45563]	V	15817410	15817846	-1
23	WBGene00000015	abf-4	Y38H6C.22.1	AntiBacterial Factor related  [Source:UniProtKB/TrEMBL;Acc:Q9XX40]	V	20557945	20558379	-1
24	WBGene00000016	abf-5	T22H6.5.1	ABF-5; AntiBacterial Factor related  [Source:UniProtKB/TrEMBL;Acc:G5EFQ2]	X	12792727	12793386	1
25	WBGene00000017	abf-6	T22H6.7.1	ABF-6; AntiBacterial Factor related  [Source:UniProtKB/TrEMBL;Acc:G5EBS3]	X	12794118	12794870	1
26	WBGene00000018	abl-1	M79.1a.1	Tyrosine-protein kinase abl-1  [Source:UniProtKB/Swiss-Prot;Acc:P03949]	X	10605832	10624185	-1
27	WBGene00000018	abl-1	M79.1b.1	Tyrosine-protein kinase abl-1  [Source:UniProtKB/Swiss-Prot;Acc:P03949]	X	10605832	10624185	-1
28	WBGene00000018	abl-1	M79.1c.1	Tyrosine-protein kinase abl-1  [Source:UniProtKB/Swiss-Prot;Acc:P03949]	X	10605832	10624185	-1
29	WBGene00000019	abt-1	C24F3.5a.1	ABC Transporter family  [Source:UniProtKB/TrEMBL;Acc:S6EZS3]	IV	10206189	10214911	-1
30	WBGene00000019	abt-1	C24F3.5b.1	ABC Transporter family  [Source:UniProtKB/TrEMBL;Acc:S6EZS3]	IV	10206189	10214911	-1
31	WBGene00000020	abt-2	F12B6.1a.1	ABC Transporter family  [Source:UniProtKB/TrEMBL;Acc:Q1RS86]	I	2255923	2272866	-1
32	WBGene00000020	abt-2	F12B6.1b.1	ABC Transporter family  [Source:UniProtKB/TrEMBL;Acc:Q1RS86]	I	2255923	2272866	-1
33	WBGene00000022	abt-4	Y39D8C.1.1	ABC Transporter family  [Source:UniProtKB/TrEMBL;Acc:Q9TXV8]	V	323774	330725	-1
34	WBGene00000023	abt-5	Y53C10A.9.1	ABC Transporter family  [Source:UniProtKB/TrEMBL;Acc:Q9XW49]	I	12011195	12018668	1
35	WBGene00000024	abu-1	AC3.3.1	Activated in Blocked Unfolded protein response  [Source:UniProtKB/TrEMBL;Acc:Q17400]	V	10380340	10381826	-1
36	WBGene00000025	abu-2	F19G12.7.1	Activated in Blocked Unfolded protein response  [Source:UniProtKB/TrEMBL;Acc:Q19594]	X	1408836	1410652	-1
37	WBGene00000027	abu-4	Y5H2A.3.1	Activated in Blocked Unfolded protein response  [Source:UniProtKB/TrEMBL;Acc:Q86S74]	V	2274842	2275977	1
38	WBGene00000028	abu-5	Y105C5A.4.1	Activated in Blocked Unfolded protein response  [Source:UniProtKB/TrEMBL;Acc:Q9NF70]	IV	15590697	15591772	1
39	WBGene00000029	abu-6	C03A7.7.1	Activated in Blocked Unfolded protein response  [Source:UniProtKB/TrEMBL;Acc:O16501]	V	5160671	5161892	-1
40	WBGene00000030	abu-7	C03A7.8.1	Activated in Blocked Unfolded protein response  [Source:UniProtKB/TrEMBL;Acc:O16502]	V	5163396	5164759	-1
41	WBGene00000031	abu-8	C03A7.14.1	Activated in Blocked Unfolded protein response  [Source:UniProtKB/TrEMBL;Acc:O16511]	V	5163269	5194608	-1
42	WBGene00000031	abu-8	C03A7.14.2	Activated in Blocked Unfolded protein response  [Source:UniProtKB/TrEMBL;Acc:O16511]	V	5163269	5194608	-1
43	WBGene00000032	abu-9	R09F10.2.1	Activated in Blocked Unfolded protein response; Prion-like-(Q/N-rich)-domain-bearing protein  [Source:UniProtKB/TrEMBL;Acc:G5EGB7]	X	8322111	8323418	1
44	WBGene00000033	abu-10	F35A5.3.1	Activated in Blocked Unfolded protein response  [Source:UniProtKB/TrEMBL;Acc:Q20002]	X	3798179	3799741	1
45	WBGene00000034	abu-11	T01D1.6.1	Activated in Blocked Unfolded protein response  [Source:UniProtKB/TrEMBL;Acc:P91419]	II	192531	194558	-1
